"Em relação à classificação geral das bombas, assinale a alternativa correta.","As bombas centrífugas são classificadas como bombas volumétricas.","As bombas dinâmicas transferem energia ao líquido por meio da rotação de um rotor.","As bombas volumétricas são o foco principal deste curso.","As turbobombas não dependem da geometria do impelidor para transferir energia.","B"
"Quanto à direção do fluxo, as bombas centrífugas podem ser classificadas em:","Radial, misto e axial.","Horizontal, vertical e inclinada.","Simples estágio e multiestágios.","Submersa e não submersa.","A"
"Qual tipo de rotor é mais indicado para aplicações que exigem altas pressões e baixas vazões?","Rotor axial.","Rotor misto.","Rotor radial.","Rotor de fluxo diagonal.","C"
"Em uma bomba de fluxo axial, a direção de saída do fluido é:","Perpendicular ao eixo.","Angular em relação ao eixo.","Paralela ao eixo.","Radial.","C"
"Quanto à posição do eixo, as bombas centrífugas podem ser:","Radial, axial ou mista.","Horizontais, verticais ou inclinadas.","Simples sucção ou dupla sucção.","Abertas, semiabertas ou fechadas.","B"
"O que caracteriza uma bomba de múltiplos estágios?","Possui mais de um rotor.","Opera com rotação acima da velocidade crítica.","Tem carcaça partida axialmente.","É sempre do tipo submersa.","A"
"Em uma bomba centrífuga com rotor em balanço, o rotor é:","Montado entre dois mancais.","Sustentado por apenas um mancal de cada lado.","Montado em balanço, ou seja, apoiado em apenas um lado.","Fixado diretamente no acoplamento.","C"
"Qual a principal função do rotor em uma bomba centrífuga?","Converter energia cinética em energia de pressão.","Transformar energia mecânica em energia cinética e de pressão.","Coletar o líquido e direcioná-lo à descarga.","Proteger o eixo contra desgaste.","B"
"Os anéis de desgaste em uma bomba centrífuga têm a função de:","Aumentar a vazão da bomba.","Reduzir a recirculação interna de líquido e manter o rendimento hidráulico.","Equilibrar o empuxo axial.","Lubrificar os mancais.","B"
"O que é empuxo axial em uma bomba centrífuga?","Força radial que atua sobre o eixo.","Força na direção axial resultante das pressões diferenciais nas faces do rotor.","Vibração causada por desbalanceamento.","Momento torsor transmitido ao eixo.","B"
"Qual das seguintes técnicas NÃO é utilizada para reduzir o empuxo axial em rotores?","Utilização de palhetas nas costas do rotor.","Furos no rotor para alívio de pressão.","Emprego de rotor de dupla sucção.","Aumento da folga dos anéis de desgaste.","D"
"Os rotores de bombas centrífugas podem ser classificados quanto às paredes em:","Simples sucção e dupla sucção.","Radial, misto e axial.","Aberto, semiaberto e fechado.","Concêntrico, voluta e difusor.","C"
"Qual tipo de rotor é mais adequado para bombear líquidos com sólidos em suspensão?","Rotor fechado.","Rotor semiaberto.","Rotor aberto.","Rotor de dupla sucção.","C"
